profession,career_field,position_level,education_level,location_type,age,years_experience,has_remote,is_career_change,is_training_career,in_training,industry_growth_rate,salary
ux designer,creative,mid,associates,small_city,22,2.8,0,0,0,0,0.0203,88790.65
hvac technician,service,entry,bachelors,international,23,1.3,1,0,0,0,0.0326,44604.04
physicist,other,entry,high_school,major_city,20,2.7,1,0,0,0,0.0246,77085.78
marketing manager,business,entry,phd,suburb,28,0.7,0,0,0,0,0.0375,83615.49
architect,engineering,mid,bachelors,major_city,27,4.7,0,0,0,0,0.053,145241.4
investment banker,finance,lead,phd,suburb,46,18.8,1,0,0,0,0.0349,952428.72
physician,healthcare,lead,bachelors,small_city,41,19.5,0,0,1,0,0.0584,691055.72
ui designer,creative,mid,high_school,suburb,23,5.0,0,0,0,0,0.0319,58190.83
hvac technician,service,mid,self_taught,rural,22,5.8,0,0,0,0,0.0271,38998.32
dermatologist,healthcare,senior,masters,major_city,32,9.4,0,0,1,0,0.0478,862928.17
pilot,service,senior,associates,rural,28,8.5,1,0,0,0,0.0248,186269.72
restaurant manager,service,executive,bootcamp,suburb,43,25.3,1,0,0,0,0.0236,187274.38
venture capitalist,finance,entry,associates,international,21,1.1,1,0,0,0,0.0258,108918.17
doctor,healthcare,senior,associates,international,33,13.0,0,0,1,0,0.0556,345447.12
social worker,service,senior,bachelors,suburb,26,5.3,0,0,0,0,0.0196,53813.94
paralegal,business,lead,masters,small_city,38,14.5,1,0,0,0,0.0381,145068.37
ux designer,creative,mid,bootcamp,major_city,23,5.6,0,0,0,0,0.0266,127878.61
pharmacist,healthcare,executive,masters,suburb,56,32.5,0,0,0,0,0.0785,367243.57
dentist,healthcare,entry,high_school,small_city,18,0.6,0,0,0,0,0.0721,97452.06
research scientist,other,senior,bachelors,international,32,10.4,0,0,0,0,0.0138,138253.25
cybersecurity engineer,technology,senior,masters,suburb,35,10.9,1,0,0,0,0.0884,288199.73
engineering manager,technology,entry,masters,international,26,1.7,0,0,0,0,0.0863,175679.06
biomedical engineer,engineering,lead,masters,rural,48,23.5,1,0,0,0,0.065,214450.94
security analyst,technology,mid,associates,international,24,4.2,0,1,0,0,0.0722,56457.99
chemical engineer,engineering,mid,bachelors,major_city,27,4.6,1,1,0,0,0.0494,144854.14
biologist,other,entry,bachelors,rural,23,0.9,0,1,0,0,0.037,34394.48
physical therapist,healthcare,mid,bachelors,major_city,27,4.4,0,0,0,0,0.0498,118948.21
machine learning engineer,technology,entry,masters,small_city,26,1.4,1,0,0,0,0.0877,135707.24
corporate lawyer,business,senior,high_school,suburb,24,6.5,1,0,0,0,0.0416,334353.38
welder,service,entry,bachelors,major_city,24,1.9,0,0,0,0,0.0114,54579.66
backend developer,technology,senior,masters,international,31,6.6,0,0,0,0,0.077,180479.88
real estate broker,business,executive,phd,rural,50,24.0,1,0,0,0,0.0444,1351153.39
patent attorney,business,mid,high_school,suburb,19,2.4,1,1,0,0,0.0344,124550.87
executive chef,service,senior,self_taught,rural,26,8.2,0,1,0,0,0.032,72983.87
cardiologist,healthcare,mid,high_school,major_city,25,7.0,1,0,1,1,0.0689,103940.74
chemical engineer,engineering,lead,masters,international,41,18.0,0,1,0,0,0.0375,241732.45
engineering manager,technology,lead,masters,rural,33,10.3,1,0,0,0,0.0804,330981.48
software engineer,technology,mid,masters,suburb,29,5.4,0,0,0,0,0.0676,173248.51
police officer,service,entry,bachelors,suburb,25,2.4,0,1,0,0,0.0331,44928.82
physical therapist,healthcare,entry,bachelors,rural,24,2.9,0,0,0,0,0.0632,54741.21
engineering manager,technology,senior,bachelors,suburb,35,13.8,1,0,0,0,0.0533,309019.31
social worker,service,entry,bootcamp,suburb,20,2.7,0,1,0,0,0.0443,44712.52
management consultant,business,executive,masters,major_city,47,24.4,0,0,0,0,0.0437,1771170.41
chemical engineer,engineering,mid,bootcamp,suburb,23,5.0,0,0,0,0,0.0503,102381.94
photographer,creative,entry,bachelors,major_city,24,2.1,0,0,0,0,0.0156,47037.99
aerospace engineer,engineering,entry,bachelors,international,21,0.6,0,0,0,0,0.0495,70643.33
doctor,healthcare,executive,masters,suburb,56,31.3,0,0,1,0,0.0578,1614664.27
mobile developer,technology,lead,self_taught,international,43,24.8,0,1,0,0,0.0829,239091.22
data engineer,technology,entry,masters,suburb,26,2.5,1,0,0,0,0.0804,125255.54
dentist,healthcare,senior,bachelors,international,33,12.4,0,0,0,0,0.061,242580.92
anesthesiologist,healthcare,executive,phd,small_city,45,18.0,0,0,1,0,0.0492,1264335.49
principal,education,mid,masters,suburb,26,3.2,0,0,0,0,0.0104,148883.34
marketing manager,business,entry,bootcamp,small_city,18,0.5,0,0,0,0,0.0383,75172.39
management consultant,business,mid,associates,suburb,23,4.2,1,0,0,0,0.0517,172824.59
physician assistant,healthcare,mid,bachelors,major_city,24,3.0,1,1,0,0,0.0621,165647.07
physicist,other,mid,bachelors,rural,25,4.0,1,0,0,0,0.0338,59254.67
financial analyst,finance,entry,bachelors,suburb,25,2.8,1,0,0,0,0.0352,98752.44
psychiatrist,healthcare,senior,phd,rural,33,7.1,0,0,1,0,0.0596,319955.4
backend developer,technology,entry,bachelors,small_city,22,1.4,1,0,0,0,0.0822,107102.81
principal,education,senior,masters,small_city,34,9.6,0,0,0,0,0.0246,170527.86
civil engineer,engineering,senior,associates,major_city,32,13.5,0,0,0,0,0.047,138970.11
veterinarian,healthcare,executive,phd,small_city,50,24.2,0,0,0,0,0.0677,463506.92
marketing manager,business,mid,bachelors,international,27,5.2,1,0,0,0,0.04,96834.8
security analyst,technology,senior,high_school,rural,30,11.6,1,0,0,0,0.075,85983.07
journalist,creative,senior,bachelors,small_city,28,6.3,1,0,0,0,0.0334,96474.85
copywriter,creative,mid,self_taught,small_city,23,5.5,0,0,0,0,0.03,72957.34
art director,creative,mid,high_school,international,24,5.4,0,0,0,0,0.0399,62050.91
veterinarian,healthcare,lead,masters,international,38,14.8,0,0,0,0,0.0524,210534.07
cpa,finance,lead,bootcamp,international,41,22.6,0,0,0,0,0.0411,220956.36
teacher,education,entry,bachelors,suburb,23,1.9,0,0,0,0,0.0185,55651.44
school counselor,education,lead,high_school,international,31,12.5,0,0,0,0,0.0345,63994.2
product designer,creative,entry,self_taught,rural,18,1.2,1,0,0,0,0.0432,77687.13
research scientist,other,executive,associates,international,37,16.7,0,0,0,0,0.0311,213907.74
management consultant,business,lead,bachelors,major_city,35,12.6,0,0,0,0,0.0479,499324.8
doctor,healthcare,executive,bachelors,international,50,27.9,0,0,1,0,0.0724,1141891.19
veterinarian,healthcare,entry,bachelors,suburb,23,2.0,0,0,0,0,0.0521,109484.29
cpa,finance,senior,bachelors,small_city,34,13.0,0,1,0,0,0.0408,150097.32
product manager,technology,mid,associates,major_city,22,2.3,1,0,0,0,0.0776,161787.02
engineering manager,technology,lead,bachelors,rural,34,12.5,0,0,0,0,0.0774,254505.92
anesthesiologist,healthcare,mid,bachelors,major_city,27,5.7,0,0,1,0,0.06,644147.71
cybersecurity engineer,technology,entry,masters,small_city,24,0.6,1,1,0,0,0.0762,132391.72
anesthesiologist,healthcare,mid,bachelors,international,28,7.0,0,0,1,0,0.0611,394710.98
social worker,service,lead,bachelors,international,34,12.9,0,0,0,0,0.0149,78445.66
journalist,creative,lead,high_school,suburb,39,20.7,1,0,0,0,0.0109,97543.44
full stack developer,technology,senior,masters,suburb,37,13.3,1,0,0,0,0.0842,237577.94
management consultant,business,senior,high_school,suburb,24,5.7,1,0,0,0,0.0437,184520.66
chef,service,mid,self_taught,international,22,4.4,1,0,0,0,0.0496,37337.05
mobile developer,technology,entry,bachelors,rural,21,0.3,1,0,0,0,0.079,69594.26
software engineer,technology,mid,bachelors,small_city,23,2.3,1,0,0,0,0.0751,160832.12
surgeon,healthcare,entry,bachelors,international,21,0.3,0,1,1,1,0.0732,58745.73
dentist,healthcare,mid,associates,international,26,7.0,0,0,0,0,0.0542,167831.25
physicist,other,entry,bachelors,international,24,2.9,0,0,0,0,0.0309,69368.63
plumber,service,entry,associates,suburb,21,1.0,0,0,0,0,0.02,44534.45
graphic designer,creative,mid,self_taught,suburb,23,5.2,0,0,0,0,0.0144,65301.21
real estate broker,business,mid,bachelors,suburb,27,5.3,1,0,0,0,0.0396,164874.65
cybersecurity engineer,technology,senior,bachelors,major_city,30,8.9,0,0,0,0,0.0788,228525.45
real estate broker,business,senior,high_school,international,30,11.7,0,0,0,0,0.0437,129824.0
hr manager,business,entry,masters,major_city,26,2.0,1,0,0,0,0.0183,87661.61
data scientist,technology,entry,bachelors,suburb,23,2.4,0,0,0,0,0.0882,101530.64
graphic designer,creative,senior,bachelors,major_city,31,10.0,0,0,0,0,0.0234,111267.91
police officer,service,lead,associates,suburb,36,15.6,0,0,0,0,0.0275,82828.93
marketing manager,business,mid,bachelors,rural,25,3.8,1,0,0,0,0.0332,89845.81
product designer,creative,lead,bachelors,small_city,31,10.4,0,0,0,0,0.0224,242091.44
pharmacist,healthcare,senior,masters,small_city,28,5.4,0,0,0,0,0.0588,249811.4
attorney,business,entry,bachelors,small_city,25,2.8,0,0,0,0,0.0447,119511.93
recruiter,business,senior,bachelors,international,30,9.3,1,0,0,0,0.0297,127010.82
school counselor,education,senior,phd,major_city,34,8.0,1,0,0,0,0.0071,154218.63
doctor,healthcare,entry,phd,international,28,1.6,0,0,1,1,0.0562,65311.24
veterinarian,healthcare,mid,bachelors,international,24,2.9,0,1,0,0,0.0725,105866.11
electrical engineer,engineering,executive,bootcamp,international,55,36.1,1,0,0,0,0.0556,260635.52
real estate agent,business,executive,bachelors,international,55,32.6,1,0,0,0,0.0225,600751.45
pharmacist,healthcare,entry,masters,major_city,26,2.3,0,0,0,0,0.0546,215766.22
restaurant manager,service,executive,bachelors,small_city,43,20.5,0,0,0,0,0.0418,193852.31
cto,technology,entry,masters,major_city,25,0.6,0,0,0,0,0.0799,314721.49
patent attorney,business,senior,bootcamp,international,32,13.6,1,1,0,0,0.0623,345057.35
teacher,education,mid,masters,international,29,5.9,1,0,0,0,0.0218,61958.12
physical therapist,healthcare,entry,bachelors,suburb,23,2.2,0,0,0,0,0.0513,60017.86
mechanical engineer,engineering,mid,self_taught,suburb,21,4.2,0,0,0,0,0.0434,86566.44
copywriter,creative,entry,high_school,suburb,20,1.9,0,0,0,0,0.0269,30457.86
art director,creative,lead,bootcamp,major_city,39,19.7,0,0,0,0,0.053,280393.8
mobile developer,technology,senior,bootcamp,small_city,31,11.7,1,0,0,0,0.0899,216118.28
psychiatrist,healthcare,mid,phd,rural,29,3.1,0,0,1,1,0.0599,44006.27
data engineer,technology,entry,bootcamp,international,18,0.3,1,0,0,0,0.0845,86368.05
software engineer,technology,senior,bachelors,international,34,12.1,1,0,0,0,0.0833,219776.43
cloud engineer,technology,entry,masters,small_city,25,1.7,1,0,0,0,0.0832,122491.84
dentist,healthcare,mid,bachelors,international,28,6.1,0,0,0,0,0.0579,192983.58
art director,creative,senior,bachelors,small_city,29,8.1,1,0,0,0,0.039,130837.12
chemist,other,senior,bachelors,small_city,36,14.3,0,0,0,0,0.0173,101702.96
venture capitalist,finance,lead,bachelors,international,44,21.9,1,1,0,0,0.0187,1034420.59
attorney,business,mid,phd,suburb,31,4.8,1,0,0,0,0.0475,220396.09
photographer,creative,lead,bachelors,international,46,23.3,0,0,0,0,0.0436,121914.03
hedge fund manager,finance,mid,bachelors,small_city,25,3.5,1,1,0,0,0.0342,390196.09
cardiologist,healthcare,senior,bachelors,international,28,6.9,0,0,1,1,0.0561,72991.37
mobile developer,technology,lead,bachelors,rural,35,13.5,0,0,0,0,0.0873,178540.9
product designer,creative,senior,bachelors,small_city,35,12.7,0,0,0,0,0.0303,234166.53
investment banker,finance,entry,bachelors,international,22,0.6,0,1,0,0,0.0388,81017.38
physician assistant,healthcare,entry,masters,small_city,25,0.6,0,0,0,0,0.0583,127451.53
nurse,healthcare,mid,phd,international,30,4.0,0,0,0,0,0.0595,116955.58
actuary,finance,entry,bachelors,suburb,22,0.6,1,0,0,0,0.0378,79662.85
professor,education,entry,associates,small_city,20,0.8,0,0,0,0,0.0491,53689.43
professor,education,entry,masters,small_city,24,0.5,0,0,0,0,0.0219,111326.22
cloud engineer,technology,entry,phd,international,27,0.2,1,0,0,0,0.0815,124862.68
pharmacist,healthcare,executive,masters,rural,57,33.2,0,0,0,0,0.0453,338584.24
physical therapist,healthcare,entry,bachelors,rural,21,0.4,0,0,0,0,0.0717,58649.76
chef,service,lead,bootcamp,rural,32,13.7,0,0,0,0,0.0143,102113.3
management consultant,business,senior,self_taught,international,31,14.2,1,0,0,0,0.058,249226.39
data engineer,technology,mid,bachelors,major_city,28,6.4,0,0,0,0,0.064,201120.55
electrician,service,senior,masters,small_city,32,8.4,0,0,0,0,0.0272,104567.91
physicist,other,mid,high_school,rural,22,4.5,0,0,0,0,0.0325,63738.15
financial advisor,finance,entry,bachelors,international,25,2.2,0,0,0,0,0.0418,40478.67
electrical engineer,engineering,senior,bachelors,suburb,29,7.5,1,0,0,0,0.0451,140256.92
financial analyst,finance,mid,bachelors,rural,27,4.4,0,0,0,0,0.0384,73288.44
cardiologist,healthcare,mid,bootcamp,small_city,20,2.7,0,0,1,1,0.0547,83297.04
full stack developer,technology,entry,associates,small_city,20,0.4,0,1,0,0,0.081,60568.47
copywriter,creative,senior,self_taught,suburb,28,11.3,0,0,0,0,0.0156,78369.28
product designer,creative,mid,bootcamp,small_city,22,2.8,0,0,0,0,0.0448,122318.42
ui designer,creative,senior,high_school,small_city,30,13.6,0,0,0,0,0.0389,107040.96
principal,education,entry,bachelors,international,23,1.7,0,0,0,0,0.0427,69906.96
police officer,service,senior,masters,major_city,35,11.7,1,0,0,0,0.0286,142202.4
recruiter,business,mid,bachelors,small_city,26,5.7,0,0,0,0,0.0407,65054.26
electrical engineer,engineering,senior,bachelors,suburb,35,14.3,0,0,0,0,0.0646,170003.0
actuary,finance,mid,bachelors,suburb,27,6.6,1,0,0,0,0.0241,154953.18
financial advisor,finance,entry,bachelors,small_city,22,0.0,0,0,0,0,0.0367,52883.46
real estate broker,business,executive,masters,major_city,42,19.2,1,0,0,0,0.0359,1500537.35
physician assistant,healthcare,lead,phd,small_city,45,17.5,0,0,0,0,0.0403,322281.49
cto,technology,entry,self_taught,small_city,20,1.7,0,0,0,0,0.0774,135256.81
cpa,finance,entry,phd,international,28,1.6,1,0,0,0,0.0556,77235.05
physicist,other,senior,bachelors,international,28,7.7,0,0,0,0,0.0309,143933.0
actuary,finance,senior,bachelors,suburb,31,8.3,1,0,0,0,0.025,175464.4
cardiologist,healthcare,senior,associates,small_city,30,10.5,0,0,1,0,0.0623,519216.74
ui designer,creative,entry,high_school,major_city,19,1.7,0,0,0,0,0.016,66225.07
ux designer,creative,entry,self_taught,suburb,20,2.4,1,0,0,0,0.0368,59651.79
ux designer,creative,entry,phd,major_city,28,2.0,0,0,0,0,0.0117,144567.49
physicist,other,mid,high_school,suburb,20,3.1,0,0,0,0,0.031,58446.85
electrical engineer,engineering,senior,masters,rural,36,12.8,0,1,0,0,0.0422,125678.04
ui designer,creative,entry,bachelors,small_city,21,0.7,0,0,0,0,0.0192,67794.09
hedge fund manager,finance,lead,phd,small_city,36,10.3,0,1,0,0,0.0415,1579042.07
software developer,technology,executive,associates,international,49,28.8,0,0,0,0,0.0495,319718.93
professor,education,entry,associates,suburb,21,2.2,0,0,0,0,0.0313,61731.44
electrical engineer,engineering,executive,bachelors,small_city,55,33.3,1,0,0,0,0.046,312405.04
paralegal,business,entry,bachelors,rural,24,2.6,0,0,0,0,0.032,34517.87
nurse,healthcare,senior,bachelors,small_city,36,14.9,1,0,0,0,0.0509,118269.19
actuary,finance,senior,bachelors,suburb,30,7.9,0,0,0,0,0.0298,206436.52
hvac technician,service,senior,self_taught,international,23,6.2,0,1,0,0,0.0276,50981.53
nurse,healthcare,entry,masters,major_city,23,0.4,0,0,0,0,0.0569,96242.01
ui designer,creative,mid,associates,rural,24,5.3,1,0,0,0,0.0349,73347.83
photographer,creative,mid,masters,international,28,4.7,1,0,0,0,0.0223,55813.67
copywriter,creative,senior,high_school,major_city,32,14.4,0,0,0,0,0.0339,97284.56
corporate lawyer,business,lead,high_school,rural,42,24.7,1,0,0,0,0.0425,454463.88
orthopedic surgeon,healthcare,entry,phd,international,28,1.4,0,0,1,1,0.0778,65904.66
physician,healthcare,entry,bachelors,major_city,24,2.8,0,1,1,1,0.0658,92807.47
marketing manager,business,executive,bachelors,suburb,43,21.5,0,0,0,0,0.0457,230135.48
restaurant manager,service,mid,associates,small_city,26,6.9,0,1,0,0,0.0311,60658.59
art director,creative,entry,bachelors,rural,24,2.0,0,0,0,0,0.0492,52454.5
school counselor,education,lead,bachelors,small_city,41,18.6,0,0,0,0,0.0277,106807.91
civil engineer,engineering,entry,bachelors,major_city,23,2.2,0,0,0,0,0.0319,82127.77
financial advisor,finance,executive,bachelors,rural,46,23.5,1,0,0,0,0.0383,540371.02
engineering manager,technology,lead,associates,major_city,33,14.0,1,0,0,0,0.0774,407070.46
backend developer,technology,mid,bachelors,major_city,25,3.9,1,1,0,0,0.0839,145031.57
full stack developer,technology,executive,bachelors,rural,60,38.2,1,0,0,0,0.0847,416359.79
copywriter,creative,lead,bootcamp,international,35,16.5,0,0,0,0,0.022,86736.95
police officer,service,senior,masters,international,30,5.9,1,0,0,0,0.0249,122087.07
paralegal,business,entry,bachelors,international,23,0.8,1,0,0,0,0.042,48026.75
executive chef,service,lead,self_taught,suburb,32,14.1,0,0,0,0,0.0304,138344.82
strategy consultant,business,mid,bachelors,small_city,24,2.8,0,0,0,0,0.0507,176164.33
graphic designer,creative,senior,bootcamp,international,32,14.7,1,0,0,0,0.0385,89269.13
mobile developer,technology,entry,bachelors,suburb,25,2.8,0,0,0,0,0.0731,75428.19
software engineer,technology,entry,bachelors,international,23,1.5,0,1,0,0,0.0692,72902.11
frontend developer,technology,mid,masters,major_city,28,4.9,1,0,0,0,0.0706,252553.43
cloud engineer,technology,lead,bachelors,suburb,33,11.3,0,0,0,0,0.0738,243606.3
ux designer,creative,mid,self_taught,suburb,20,3.0,0,0,0,0,0.0351,96770.42
pharmacist,healthcare,mid,bachelors,rural,26,5.3,0,0,0,0,0.0602,125020.6
executive chef,service,mid,bachelors,small_city,25,4.7,1,0,0,0,0.0304,104407.81
software engineer,technology,entry,bachelors,major_city,24,1.9,1,0,0,0,0.0782,127504.11
full stack developer,technology,executive,phd,suburb,55,28.0,0,1,0,0,0.0757,602630.94
mechanical engineer,engineering,mid,masters,international,26,2.5,1,0,0,0,0.049,98276.41
chef,service,senior,bootcamp,international,29,11.1,0,0,0,0,0.0323,75623.39
art director,creative,lead,bachelors,small_city,40,19.7,1,0,0,0,0.0458,233420.33
ui designer,creative,lead,associates,major_city,40,21.5,0,0,0,0,0.0219,207097.3
data engineer,technology,entry,masters,small_city,23,0.1,1,1,0,0,0.0917,108439.44
cybersecurity engineer,technology,mid,bachelors,rural,25,4.4,1,0,0,0,0.0825,144915.67
professor,education,executive,bachelors,international,38,17.0,1,0,0,0,0.0279,324185.28
dentist,healthcare,mid,associates,rural,26,6.6,1,0,0,0,0.0691,149465.02
cpa,finance,entry,masters,international,24,0.6,1,0,0,0,0.0401,85785.29
cybersecurity engineer,technology,mid,phd,major_city,31,5.4,1,0,0,0,0.0642,292802.12
product designer,creative,senior,phd,major_city,34,7.9,1,0,0,0,0.0225,297359.84
mobile developer,technology,entry,bachelors,major_city,24,2.6,1,0,0,0,0.0751,151698.67
surgeon,healthcare,executive,phd,suburb,46,18.8,1,0,1,0,0.0606,1377631.88
physicist,other,entry,bachelors,rural,22,1.3,0,0,0,0,0.0426,69938.13
photographer,creative,mid,bootcamp,small_city,20,2.7,0,1,0,0,0.04,42177.8
orthopedic surgeon,healthcare,entry,associates,small_city,20,0.0,0,0,1,1,0.0683,81158.29
dentist,healthcare,senior,bachelors,major_city,34,12.6,1,0,0,0,0.0503,350353.63
cpa,finance,entry,masters,major_city,24,1.7,0,0,0,0,0.042,87391.9
data scientist,technology,mid,bachelors,small_city,25,3.5,0,0,0,0,0.07,157921.42
software developer,technology,mid,bachelors,suburb,25,2.5,1,1,0,0,0.0879,109381.96
orthopedic surgeon,healthcare,senior,phd,major_city,33,6.0,0,1,1,1,0.053,101323.05
frontend developer,technology,lead,masters,rural,44,20.8,1,0,0,0,0.0739,259145.21
software engineer,technology,mid,self_taught,rural,23,5.8,1,0,0,0,0.0831,103618.34
chef,service,entry,masters,suburb,25,1.2,0,0,0,0,0.0398,46348.99
full stack developer,technology,senior,masters,rural,33,10.4,1,0,0,0,0.0765,169864.07
civil engineer,engineering,entry,bachelors,rural,24,1.8,0,0,0,0,0.0636,52320.59
mobile developer,technology,mid,masters,small_city,30,6.3,1,0,0,0,0.0756,206934.93
financial analyst,finance,mid,bachelors,major_city,28,6.7,1,1,0,0,0.0503,109824.52
restaurant manager,service,senior,associates,small_city,33,13.0,0,0,0,0,0.0328,99612.24
real estate broker,business,lead,bachelors,international,39,17.8,1,0,0,0,0.066,385142.15
teacher,education,executive,bachelors,rural,56,35.7,1,0,0,0,0.0117,121371.04
electrician,service,mid,associates,rural,24,4.1,1,0,0,0,0.0169,46041.49
physician,healthcare,mid,bachelors,small_city,25,3.1,0,0,1,1,0.0602,70670.92
hedge fund manager,finance,lead,masters,major_city,46,23.5,0,0,0,0,0.0421,2618852.26
paralegal,business,executive,masters,major_city,53,29.6,1,1,0,0,0.0389,244434.01
doctor,healthcare,mid,masters,suburb,27,3.2,0,0,1,1,0.053,74820.32
firefighter,service,mid,masters,small_city,27,4.5,0,0,0,0,0.0423,99292.4
devops engineer,technology,mid,masters,small_city,26,2.2,0,0,0,0,0.0836,199855.61
security analyst,technology,entry,masters,small_city,23,0.3,0,1,0,0,0.0741,93492.24
lawyer,business,mid,masters,international,28,5.1,0,1,0,0,0.0454,174000.78
full stack developer,technology,entry,high_school,international,18,0.6,1,0,0,0,0.0746,64373.51
